date,summary
2022-07-06,"Apple, goog, googl and amazon are some of the products that have earned the name ""fallen angels"" from the internet's fallen angels.    iReport.com: Are you a fallen angel? Share your photos and videos with us.  amzn is trading right around 110 as i lift this chart. amzn. is trading around 110. Amzn is around 110 when i lift the chart.    amzn  is trading about 110 as I lift it.  Amzn  are around 110   Amzn is above 110 but below 137.5. The option position increases dollarfordollar.com's share price by 1.5% as a result of the stock appreciation via the rebound and the increase in the option position. Amzn is below 110. Amazon is above 137.  app and goog are similar stocks to amzn for the illustration. For the illustration use amzn instead of aapl or goog instead of goog.    for this illustration.  for purposes of illustration  amzn.  and googl.  The option chart for amzn supplied by fidelity shows the options available to buy the item on Amazon's website. It's a good starting point for looking at the option chart.    i.e. it's a chart of the options offered by fidelity. "
2022-07-06,"Cloud computing companies may reduce their spending on new equipment during the economic downturn. Amazon, Google, Microsoft and others are unlikely to shrink their investments too much, however.   i believe that it is unlikely that amazon amzn alphabet goog googl microsoft msft and other cloud leaders will shrink their investment too much."
2022-07-06," is a growing new end market for both Uber and doordash. Amazon is becoming more aggressive in grocery market.   He also said this could signal amazon becoming more active in grocery.  He said this. Amazon will become more aggressive    in grocery business.  Amazon has 82 million U.S. prime subscribers, which is an attractive pool of potential new grubhub subscribers. Goldman sachs estimates that amazon has about 82 million prime subscribers and grubHub has about 30 million prime members.  Amazon is considering entering the restaurant delivery marketplace. It would represent incremental competition relative to the status quo.    mctiernan writes that the bear case for the two incumbent leaders is if this is the first step in Amazon entering the marketplace.  Needham analyst bernie mctiernan writes in a research note that if nothing else this is a negative for both doordash dash and uber uber. He adds that the actual impact of the agreement will depend on how aggressively Amazon markets the relationships. As part of the deal Amazon gets warrants that represent 2 of grubhubs equity exercisable at a de minimus price. Amazon also gets warrants for another 13 of the food delivery service at a formulabased price. The deal is expected to close in a few days."
2022-07-06,"A one-year grubhub membership is the latest perk on amazons prime subscription program. It's available to all members of the Prime Membership Program. It costs $35 per year.      Â   i.e. one year membership.  The value of a prime membership at Amazon Prime continues to grow with this offer, according to jamil ghani, the vice-president of Amazon Prime, the company's parent company, which offers the membership at $999.99 per year. The offer is good for life. Amazon offers one-year grubhub subscription to prime membership perks and receives option to take additional 2% stake in the company. Amazon is busy bolstering its amazon prime subscriber offerings at the same time as Amazon.com is expanding its prime membership offerings. If Amazon decides to buy 15% of Amazon.com it would increase the ecommerce titans current ownership to 15%. Amazon Prime subscribers also stand to benefit from this teamup.    i.e. Amazon Prime members would benefit from the deal.  Amazon has an option to take an additional 2 stake in grubhub. to begin with through the current deal amazon has a 1.5% stake in Grubhub, but it can increase it to 2% through the new deal.  "
2022-07-07,Venmo will be integrated with Amazon amzn. The plans are progressing and should come to an end in 2022. Venmo will profit even if amazon has pricing power and the conditions for paypal won't be as great as with smaller retailers.  
2022-07-07,"The port authority has entered into a 20-year lease agreement with Amazon Global Air for the redevelopment and expansion of newarks air cargo space. Amazon is expected to invest 125 million into the renovation of the cargo space at Newark Port Authority's air cargo center.  hasn't reached a final deal with the port authority. Amazon is disappointed but still values its relationship with the authority. The company is disappointed that no final deal was reached.   The company was disappointed that the final deal wasn't reached, but still valued the relationship.  Port authority of New York and New Jersey has ended talks with Amazon for a potential deal to develop air cargo facilities at Newark Liberty International Airport, as Dean seal reports.      Â   e-mail: deanseal@mailonline.co.uk."
2022-07-07,"This is similar to Prime Video Subscribers getting the benefits of Amazon Prime as well as Prime Video subscribers. Amazon Prime subscribers also receive the benefits from Amazon Prime.      Â   .   e.g. the benefits are similar to those offered by Prime Video. This includes competitors like Amazon Prime Video and Apple TV, which is a direct competitor to Amazons Amzn prime video and apple tv, among others. It's also a competitor to amzn.com and amzn tv, which are also competitors to Amzn Prime Video. In the long run Netflix will have a tough time outbidding Apple and Amazon for content. Netflix needs to improve its original content to take back market share.   i.e. increase budgets for original content is promising but the strategies are flawed since Netflix won't be able to outbid apple and Amazon."
2022-07-07,"Citizen cricut jbl and more brands will be revealed first on amazon live first.    i.e. exciting deals from citizen cricutjbl, Citizen cricut, and more will be announced first on Amazon live.  i  Amazons pioneered some of the things pioneered by amazon, such as the climate pledge, ebooks, e-books, Amazon Studios, and Alexa just walk out technology, are some of them. Amazon offers one click shopping, personalized recommendations, prime fulfillment and customer reviews. Find out more about buy with prime at amazon.com Buy with Prime is a service offered by Amazon.com. For more information, go to buywithprime.com or call 1-800-847-8255 or visit www.amazare.com/buy-with-prime Millions of orders will be picked packed and shipped by Amazon employees and partners on prime day. Amazon will work to create the best possible experience for customers. Amazon.com offers Prime Day delivery on Prime Day for millions of orders. Amazon offers a wide variety of delivery options.  of Amazon Prime members this Prime Day with epic savings across every category.    for Prime Day. For amazon prime members this prime day. For Amazon Prime membership. For Prime Day for Amazon Prime Day and Amazon Prime Members. For the Prime Day, Amazon Prime. "
2022-07-07,"Amazon is teaming up with grubhub to offer its prime members a membership to Grubhub. In detail, Amazon explains in detail how it will work with GrubHub and its membership offer in detail.  iReport.com will let you know more about it. The Amazon Prime subscription service has been expanded to include Amazon Prime memberships. It is the latest expansion of Amazon Prime's subscription service. It will be available on Amazon.com and on Prime.com Plus. It's available to Prime members on Amazon Prime.  Consumer discretionary stocks to buy or sell now. Amazon.com inc. is one of the major consumer discretionary stocks in the stock market today and could be your next big long-term investment in the market. It's a good idea to take a look at it now.   their consumerfocused offerings should not be overlooked just yet, as they offer something for everyone.       in the form of a service or product that is convenient and affordable for all people, not just for the rich and famous and for the privileged.  As part of the deal Amazon has the option to take on an additional 2% stake in grubhub. Amazon will buy Grubhub for $1.5 billion. Amazon has already invested $1 billion in GrubHub. Amazon is also interested in taking on more stakes in other companies. "
2022-07-07,"Amazon has large established competitors like microsoft msft and google goog that competes with the cloud computing space. Amazon has no such established competitors in this space yet.    i.e. microsoft mssft and Google goog have established competitors.  it is a prime time to buy Amazon, because of the great risk reward opportunity before us, as well as the fact that Amazon is cheap and easy to buy.    as such time to do so, because it's a prime opportunity to buy it.  It's prime time to buy amazon on Nasdaqamzn.com, according to George Clerckistock. He shares a photo of his unreleased work with this article.       i think that it's time for Amazon to go public.  Amazon will retain its lead in the ecommerce space and grow its leading position with 40 market share. It pursues next day and sameday delivery and provides a strong value proposition to customers who value this speed in ecommerce deliveries. It has sufficient fulfillment center capacity for its near-term growth plans. Amazons is my top pick in the large cap space for 2022. The risk reward skew for the company is one of the most positive in the space, as I explained in an earlier article.       in his earlier article he wrote that Amazon is his top pick."
2022-07-08,Shares of Amazon.com inc. advanced 1.75 to 116.33 on Thursday. The sp 500 index spx rose 1.50 to 3902.62 and the dow jones industrial average djia 0.77 rising 1.12 to 31384.55. Amazon.com inc. closed 72.32 below its 52week high of 188.65 reached on July 13th. The company's 52week low was reached on the 13th of July. The stock is now trading at $72.32 per share.
2022-07-08,"Amazon is the market leader in the cloud infrastructure market with 33% market share in 2021. Nvidia has partnerships with major cloud service providers including Amazon, Google Cloud, and Alibaba Cloud Baba otcpkbabaf. Nvidia also has a partnership with Microsoft. Grace PC offers superior core count 144 compared to ampere altra max 128, amazon graviton3 64 and huawei kunpeng 920 64 in terms of product and software integration. It will support its hpc software development kit and a full suite of cuda libraries. Companies which operate facilities include yahoo, facebook, meta microsoft, msft, apple, aapl, google, goog, googl, amazon and amazon amzn. etc. for example. They include Yahoo, facebook facebook, mssft, meta-microsoft, apple and goog. Amazon graviton processors and huaweis kunpeng chips are used in their own data centers in comparison to nvidia's chips, but they are not used in data centers of nvidia. nvidia uses chips from Amazon and Huawei. The total data center CPU market is forecasted to grow at a cagr of 10.2% from 2021 to 2028. The x86 data center market is estimated to be 24.1% of the total market. The share of armcpus is 25%."
2022-07-08,"The trade desk ttd advanced micro devices, apple aapl mongodb mdb hubspot hubs and amazon amzn have driven most of the alpha in my portfolio. The portfolio also includes some winners such as Apple, Amazon and Samsung.  Apple, Microsoft, Alphabet, Amazon, and tesla are the top five stocks in the sp 500. They have been among the main drivers of the market returns over the past decade. The market returns are based on the value of the stock's market capitalization."
2022-07-08,"The portfolio position in Amazon.com inc. amzn was first purchased in 2006. The position has since been substantially reduced over the years. A very large 12m share stake was built next year at prices between 2 and 5, but it's since been reduced."
2022-07-08,"Grubhub is recruiting Amazon to procure new customers through its prime offering. Grubhub's takeout service is owned by just eat takeaway.com tkwyas as well as u.s. takeout company Just Eat Takeaway.com TKwyas. Amazon.com agreed to take warrants equivalent to a 2 stake in grubhub in exchange for promoting the meal delivery service to its prime premium customers.       in the context of news that Amazon.com will take a stake in Grubhub.  It's the kind of lowcash diet plan that Amazon can easily offer. Many struggling technology companies would covet it. It's a good option for struggling tech companies. Amazon can offer it easily. It is cheap and easy to deliver. It can be easily sold.  Amazon gets the equivalent of a 2 stake upfront rising to 15 if certain milestones are met, such as customer retention and order frequency are hit, which could be worth up to $15 per share if Amazon meets certain milestones. Amazon has already met some of these milestones. Amos' involvement makes the warrants more valuable, as it makes them more valuable. It also helps that amazons involvement itself makes the warrant more valuable as it helps that Amazons involvement makes it more valuable for the warrant holder's case. It helps that the warrant is more valuable because of amazons."
2022-07-09,"Amazon.com inc has a priceearnings ratio of 55.18, a pricebook ratio of 8.70, a growth peg ratio of 1.32, evtoebitda ratio of 20.06 and a pricesales ratio of 2.45. The company has a gf value rank of 8 and a financial strength rating of 6. Amazon.com inc traded for a price of 114.33 per share and a market cap of 1163.24bil. during the quarter the stock traded for an average price of 125.73 per share, while the market cap reached 1163bil. Matinas biopharma holdings inc has a pricebook ratio of 3.92 and a evtoebitda ratio of 5.47. Neville rodie shaw inc reduced their investment in nasamzn by 9360 shares by buying more shares from Nasamzn."
2022-07-09,Instead of dot.com and tmt stocks back then today it has been the likes of big tech aaplmsft streaming and social media communications googgooglmetanflx and internet related consumer discretionary amzn. Today's innovation is hubris driven.
2022-07-09,"m.com inc has a priceearnings ratio of 55.18, a pricebook ratio of 8.70, a growth peg ratio of 1.32, evtoebitda ratio of 20.06 and a pricesales ratio of 2.45. Private asset management inc bought 7801 shares of nysecrm for a total of 45612. Amazon.com inc traded for a price of 114.33 per share and a market cap of 1163.24bil. during the quarter the stock traded for an average price of 125.73 per share, while the market cap reached 1163bil.  bought 15386 shares of nasamzn for a total holding of 155526. The trade had a 0.27 impact on the equity portfolio. citigroup inc has a priceearnings ratio of 5.45, a pricebook ratio of 0.50, a growth peg ratio of 1.28."
2022-07-09,"Amzn.com and grubhub will accelerate this trend, he writes.    iReport.com amzn. com amzn will be the next big thing in e-commerce. Grubhub is already a big player in this field.  Dominos pizza should take advantage of third-party delivery services such as Amazon, according to citi.com.    iReport.com: Domino's pizza should use Amazon.com for delivery. iReport is a feature of Citi's website.  Dominos is cutting themselves off from customers that are siloed in apps due to loyalty programs app fatigue or growing loyalty to a single platform and the agreement between amazon and dominos.    iReport.com: What do you think? Share your thoughts."
2022-07-09,"Amazon.com inc. traded for 114.91 per share and a market cap of 1158.47bil. on 07072022 amazoncom inc traded for a price of 114.90 per share, with a market capitalization of $1.3 billion. ctc llc reduced their investment in nasmsft by 1469539 shares. Amazon.com inc has a priceearnings ratio of 54.95, a pricebook ratio of 8.65, a growth peg ratio of 1.31, evtoebitda ratio of 20.00 and a pricesales ratio of 2.45. Sp 500 etf trust etf has a priceearnings ratio of 20.18, pricebook ratio of 3.85, evtoebitda ratio of 13.84 and pricesales ratio of 2.79. The guru sold out of their 4302420 share investment in nasamzn."
2022-07-10,"A lot of financial companies report early in the season, while tech heavyweights like Apple, Amazon and Samsung report later in July.    iReport.com will have more information on this topic later in the week.  iReporter will have a more detailed look later."
2022-07-10,"Boris Johnson's departure as UK PM could hurt Amazon, etsy, and wayfair, according to one analyst. Boris Johnson's public disgracing and departure could hurt pandemic darlings Amazon, Amazon, usaapl etsy and Wayfair.  The port authority of New York and New Jersey ended talks with Amazon.com inc. after failing to agree to lease terms and development plans for newark liberty international airport air cargo facilities, according to dow jones newswires.   iReport.com."
2022-07-10,"Gamestop will join amazon and googleparent alphabet in splitting its stock this year. It will join Amazon and Googleparent Alphabet in splitting stock. It is expected to take place in the first half of this year, as well as in the second half of 2015. Gamestop Corp. shares rose nearly 5% in premarket trading on Thursday. The video game retailer announced a four-for-one stock split in an attempt to revive retail interest that has waned amid a market selloff. The stock split will take effect on July 7th."
2022-07-10,"Amazons is set to report another big loss for the secondquarter. Amazon has chosen the fair value method to account for its equity investment in Rivian and is expected to report a big loss there.    i.e. since Amazons has chosen to use the Fair Value Method.  Amazon projected net sales of 116.0b and 121.0bn for q222. This is a growth of 37% from the first quarter of this year. The third quarter could see slower revenue growth rates for the company.    i.  thinks Amazon is a value trap heading into earnings. Amazon is worth less than it was in the past. Amazon's value is more than it has been in the last few years. Amazon has been undervalued than it used to be in the recent years.    A weak Q322 revenue outlook for Amazon could spark a new round of revenue corrections for Amazon's revenue estimates. Amazon revenue estimates have already decreased for amazon, but a weak q322 guidance regarding top line growth and margins could spark another round of estimate refreshments. Consolidated margins are set for another sequential decline in the secondquarter. Since the usd kept appreciating in secondquarter and is now close to parity with the euro, consolidated margins are expected to decline again in the next quarter.    i."
2022-07-10,It is already in the top 100 on all kindle and a 1 best seller on amazon in the following categories: nonfiction entrepreneurship marketing women business and more.    It is also a bestseller on all Kindle categories and on Amazon in the nonfiction category. Galen m. hair cofounder of insurance claim hq announces his book chapter in the wall street journal's bestselling anthology. Million dollar identity experts and entrepreneurs share how to build monetize and scale your market authority profit and influence for 7 figure success. published 20220707 082503 et amzn. Galen M. hair is a property insurance attorney who has helped over 800 families rebuild their homes and businesses. The chapter he wrote with his peers can be found on Amazon at: https://www.amazon.com/commilliondollaridentityentrepreneursauthority/product/s/1938953347. The book has hit number one in hot new releases in 13 categories on amazon. It is a best seller in 11 categories and has received the best seller banner in at least five categories. It has been published in English. It's available in English and Spanish.
2022-07-11,"Eu antitrust regulators are investigating the video licensing policy of the alliance for open media aom whose members include Alphabet Googl, Google, Amazon, Apple, and Meta.    iReport.com reports. The EU Commission said on Thursday that it is investigating the alliance's policy.  meta and amazon declined to comment on the matter.    iReport.com will let you know if they respond to the comments.  iReporter.com has contacted Amazon and Meta for comment and they declined to respond to it as well. "
2022-07-11," closed 73.11 below its 52week high 188.65 which the company achieved on July 13th. Amazon.com inc. shares closed on Thursday at $1,788.00.      Â   .   y  Shares of Amazon.com inc. amzn 1.53 slumped 0.68 to 115.54 friday on what proved to be an allaround rough trading session for the stock market with the sp 500 index spx falling 0.73 to 3899.38 and dow Jones industrial average djia 0.77 to 31338.15. The fall snapped a four-day winning streak."
2022-07-11,"Amzn financial is the leading ecommerce and cloudcomputing provider in the world. Amzn Financial is a division of Amazon.com.  It is the world's leading e-commerce provider and cloud computing provider.    It's based in Seattle, Washington. Two thirds of U.S. households are Amazon Prime subscribers. Over half of all online product searches now start on amazon.com.       .   in the United States, the most popular online product search is for Amazon products. Amazons Web Services controls nearly half of the market in cloud computing. Amazon Web Services is the biggest provider of cloud computing services in the world. Amazon.com controls the other half of that market. Amazon's Web Services also controls the majority of the cloud computing market. "
2022-07-11,"Amazon.com inc has a priceearnings ratio of 55.76, a pricebook ratio of 8.79, a growth peg ratio of 1.33, evtoebitda ratio of 20.28 and a pricesales ratio of 2.49. The guru sold out of their 3017share investment in nyseu.  aapl15.06 amzn4.93 and acn4.02. The top holdings were aaPL15, AMzn4, AMN4 and ACN. Aapl and AMN are the most valuable stocks in the world.   bought 2517 shares of nasamzn for a total holding of 431377. The trade had a 0.03 impact on the equity portfolio. The company has a financial strength rating of 7 out of 10 and a profitability rating of 10 out of 9. Amazon.com inc traded for a price of 115.54 per share and a market cap of 1175.55bil. during the quarter the stock traded for an average price of 125.73 per share, while the market cap reached 1175bil."
2022-07-11,"Amazon.com inc has a priceearnings ratio of 55.76, a pricebook ratio of 8.79, a growth peg ratio of 1.33, evtoebitda ratio of 20.28 and a pricesales ratio of 2.49. The guru sold out of their 13416share investment in nas Meta. Amazon.com inc traded for a price of 115.54 per share and a market cap of 1175.55bil. during the quarter the stock traded for an average price of 125.73 per share, while the market cap reached 1175bil. Mcia inc bought 25649 shares of nasamzn for a total holding of 55549. The trade had a 1.49 impact on the equity portfolio. Ishares core high dividend etf has a priceearnings ratio of 17.56 and a pricebook ratio of 3.68."
2022-07-12,"The strike action is timed to coincide with amazons discount prime day, when heavy sales volumes are expected. The strike action will last until the end of the workday on Monday, November 26th. The action will be called off at midnight.    Amazon has increased wages in recent years, but the impact on staff has been moderated by extended working hours and low to nonexistent compensation for public holiday shifts, according to a German union.    The union is one of germany's biggest and is based in Berlin. Verdi official stefanie nutzenberger praises the courage of their colleagues who are fighting for a collective pay agreement with Amazon.    for the courage they keep showing in this confrontation with the employer.  i.e. they deserve respect for their courage.  Amazons employees have been on strike many times before over pay and conditions, including over Amazon's contract with the company. The current strike is not the first time they have gone on strike over this matter, either.      .  Germans union verdi has called on staff at Amazon's distribution centres to strike over Sunday evenings night shift in a bid to force the retailer to accept the union's sectoral collective bargaining agreement. Verdi wants the strike to take place on July 10th."
2022-07-12,"The corporate calendar for the week includes investor events for dave busters entertainment, ferroglobe plc, suncor nysesu and pure cycle corporation. Prime day and competing online sales will dominate attention in the retail sector.   ndaqpcyo is Nasdaqamzn's market index. Amazon raised its prime fees in the u.s. in March to 14.99 a month from 12.99 and to 139 a year from 119. The price increase is expected to drive 2.8b in incremental prime subscription revenue from existing subs throughout the year. Amazon, Amazon, Target, Best Buy, Macy's, Walmart and Walmart-Wm. are already offering high levels of markdowns on prime day and black friday in July events.      Â   i.e. on Prime Day."
2022-07-12," established a new position worth 176825 shares in nyset giving the stock a 1 weight in the equity portfolio. Amazon.com inc has a priceearnings ratio of 55.76, a pricebook ratio of 8.79, evtoebitda ratio of 20.28 and a pricesales ratio of 2.49. Amazon.com inc traded for a price of 115.54 per share and a market cap of 1175.55bil. during the quarter the stock traded for an average price of 125.73 per share, while the market cap reached 1175bil. Stonnington group llc reduced their investment in nasamzn by 42090 shares. Marketwide value etf has a priceearnings ratio of 13.05 and a pricebook ratio of 2.04, while Nasamzn has a market value of $2.04."
2022-07-12," established a new position worth 62908 shares in Nassmh giving the stock a 0.97 weight in the equity portfolio. Amazon.com inc has a priceearnings ratio of 55.76, a pricebook ratio of 8.79, evtoebitda ratio of 20.28 and a pricesales ratio of 2.49.  the top holdings were aapl23.71 googl8.73 and amzn6.90. iReport.com will send you a list of the most popular holdings.  iReport   will send a list to you.    . Amazon.com inc traded for a price of 115.54 per share and a market cap of 1175.55bil. during the quarter the stock traded for an average price of 125.73 per share, while the market cap reached 1175bil. Yarbrough capital llc reduced their investment in nasamzn by 118200 shares by YARBrough Capital llc. yarbrough Capital Llc invested in Nasamzn through YBARB. yBAR reduced its investment in NSCN by 11800 shares."
2022-07-12,"The big growth area for retail is in providing logistics services. Amazon understands this well and is investing in logistics services like they do.    for example, in Amazon's case, in their fulfilment services.  For more information, visit amazon.com.  Amazons wants to become a 3PL and Alibaba has to get ahead of this, according to Brittain Ladd, the chief marketing and supply chain officer at pulse integration and a former amazon executive.    iReport.com will let Brittany Ladd comment on this.  is making significant logistics investments for external customers.   will continue to rise in revenue in this area.  iambuza is making considerable logistics investments    for External Customers   and is making a lot of investments for them, like amazon and jd alibaba is investing in logistics for them. The logistics model is very important for overall commerce operating margins. Alibaba operating income and operating margins exclude the cloud business for alibaba and Amazon. The numbers are based on the following spreadsheet: alibaba's operating income, Amazon's operating margins and cloud business excluded.   is a fun exercise to see what Amazon's overall commerce operating margin would look like if they had a less capital intensive fulfillment model.    for a thought experiment on Amazon's business model is fun exercise.  For more information, go to their website. "
2022-07-12,"Amzn is the largest tenant in the mall.   ycharts show amazon amzn is plds largest tenant.  yachtservices.com is the most popular place to buy ychartz.com's products. ychatservices are:   Amazons management made a statement at a point in time, but in the greater context, it was making a statement too.    in the context of that commentary amazon management was trying to make a statement, but it was also trying to do something else."
2022-07-13,"Google, Amazon and Amazon amzn. are some of the companies mentioned in this article.   “Google” and “Amzn’s” are mentioned in the article as well as “amazon.com”. "
2022-07-13,"The shakeup aims to take better account of the emergence of big digital companies such as Apple and Amazon that can book profits in lowtax countries. The shakeup was shepherded by the oecd and nearly 140 countries agreed to it last year.   The biggest overhaul of crossborder tax rules in a generation is now on course to take effect in 2024, according to OECD. OECD gave an update on the project for g20 finance ministers on Monday. It is expected to be a global corporate tax overhaul."
2022-07-13,"Bol.com will no longer be listed as a separate company on the Amsterdam stock exchange, according to analysts. Bol.com is an ecommerce platform that is similar to amazon amzn and is active in the benelux, but it's not listed on the stock exchange."
2022-07-13,jp morgan is positive on the stock with a buy rating on Amazon.com Inc. amazon com inc. jp morgan reiterates its buy rating. Amazon has a PSEI of 20220711 060004 et amzn. 
2022-07-13,There was a 9% reduction in Amazon.com Inc.'s share price this quarter. Amazon has a 6% stake in waters corp. and a 3.63% of the portfolio position in Google Inc. There was a 20% reduction this quarter in Amazon's share price.
2022-07-13,"Amazon is trying to get a greater share of consumers wallets ahead of the black fridaycyber mon day sales, according to quinby.       i.e. this move would indicate that amazon is already anticipating consumers continuing to feel the pinch ahead of Christmas. Elevated living costs pose a risk for brands. Six in ten consumers are more inclined to switch brands amid historic inflation. Shoppers will flock to platforms with access to a huge range of products. Amazon is one of the best platforms for such products.  Last year sales during amazons discount bonanza known as prime day hit another new record raking in just shy of 10bn in one day alone. Amazon.com is primed for discount day today.   Â   20220711 012105 et amzn. Amazon may also see a decline in nicetohave impulse buys according to quantum metric retail marketing director and former amazon product manager elissa quinby, who is also a former product manager at the company.   iReport.com: What do you think? Share your thoughts. Amazon has a second prime day planned for later in the year when energy bills are expected to rise further due to the colder months and Amazon has also got a second Prime Day planned for Amazon.com. Amazon is also planning a second Amazon Prime Day for Amazon Music."
2022-07-14, amazon.com amzn nvidia nvda meta platforms meta microsoft msft and broadcom avgo are the primary detractors of the new technology.    iStock.com. iReport.com/kpkkkvk.
